Node_ID, Node, Total Support
0, hsa:7478, -20
1, hsa:7479, -20
2, hsa:7481, -20
3, hsa:7480, -20
4, hsa:7483, -20
5, hsa:7482, -20
6, hsa:80326, -20
7, hsa:7484, -20
8, hsa:89780, -20
9, hsa:81029, -20
10, hsa:4041, -12
11, hsa:4040, -12
12, hsa:7476, -20
13, hsa:7477, -20
14, hsa:7474, -20
15, hsa:7475, -20
16, hsa:7472, -20
17, hsa:7473, -20
18, hsa:54361, -20
19, hsa:7471, -20
20, hsa:51384, -20
21, hsa:122011, -40
22, hsa:1452, -40
23, hsa:1499, -48
24, hsa:8325, -30
25, hsa:8326, -30
26, hsa:1856, -29
27, hsa:1855, -29
28, hsa:1857, -29
29, hsa:324, -39
30, hsa:10297, -39
31, hsa:6932, 14
32, hsa:51176, 14
33, hsa:83439, 14
34, hsa:6934, 14
35, hsa:8323, -30
36, hsa:8324, -30
37, hsa:8321, -30
38, hsa:8322, -30
39, hsa:4609, 30
40, hsa:595, 23
41, hsa:7855, -30
42, hsa:7976, -30
43, hsa:2535, -30
44, hsa:11211, -30
45, hsa:8313, -40
46, hsa:8312, -40
47, hsa:10023, -26
48, hsa:23401, -26
49, hsa:2932, -39
50, hsa:1029, 39
51, hsa:5925, 31
52, hsa:1870, 33
53, hsa:1869, 33
54, hsa:1871, 33
55, hsa:1021, 21
56, hsa:1019, 21
